resource_id,primary_secondary,author,year,title,resource_type,doi_ISBN,resource_journal,resource_volume_pages
r288,primary,"Viladrich, N., Bramanti, L., Tsounis, G., Chocarro, B., Martínez-Quitana, A., Ambroso, S., ... & Rossi, S.",2016,Variation in lipid and free fatty acid content during spawning in two temperate octocorals with different reproductive strategies: surface versus internal brooder,article,10.1007/s00338-016-1440-1,,
r289,primary,"Page, C. A., & Lasker, H. R.",2012,"Effects of tissue loss, age and size on fecundity in the octocoral Pseudopterogorgia elisabethae",article,10.1016/j.jembe.2012.07.022,,
r290,primary,"Liberman, R., Shlesinger, T., Loya, Y., & Benayahu, Y.",2018,Octocoral Sexual Reproduction: Temporal Disparity Between Mesophotic and Shallow-Reef Populations,article,10.3389/fmars.2018.00445,,
r291,primary,"Betti, F., Bo, M., Di Camillo, C. G., & Bavestrello, G.",2011,Life history of Cornularia cornucopiae (Anthozoa: Octocorallia) on the Conero Promontory (North Adriatic Sea),article,10.1111/j.1439-0485.2011.00456.x,,
r292,primary,"Baillon, S., Hamel, J. F., & Mercier, A.",2015,"Protracted oogenesis and annual reproductive periodicity in the deep-sea pennatulacean Halipteris finmarchica (Anthozoa, Octocorallia)",article,10.1111/maec.12236,,
r294,primary,"Lasker, H.R.",1983,Vegetitative reproduction in the octocoral Briareum asbestinum (Pallas).  Journal of Experimental Marine Biology and Ecology 72: 157-169,article,10.1016/0022-0981(83)90141-7,,
r295,primary,"Sebens, K. P. & J. S. Miles",1988,Sweeper tentacles in a gorgonian octocoral: morphological modification for interference competition,article,10.2307/1541729,Biol Bull,175: 378–387
r296,primary,"Barneah, O., Weis, V. M., Perez, S., & Benayahu, Y.",2004,Diversity of dinoflagellate symbionts in Red Sea soft corals: mode of symbiont acquisition matters,article,10.3354/meps275089,,
r297,primary,"Ramsby, B.D. & Goulet, T.L. ",2019,Symbiosis and host morphological variation: Symbiodiniaceae photosynthesis in the octocoral Briareum asbestinum at ambient and elevated temperatures,article,10.1007/s00338-019-01782-z,,
r298,primary,"Parrin, A. P., Harmata, K. L., Netherton, S. E., Yaeger, M. A., Bross, L. S., & Blackstone, N. W.",2012,Within-colony migration of symbionts during bleaching of octocorals,article,10.1086/BBLv223n2p245,,
r299,primary,"Kirk, N. L., Andras, J. P., Harvell, C. D., Santos, S. R., & Coffroth, M. A.",2009,"Population structure of Symbiodinium sp. associated with the common sea fan, Gorgonia ventalina, in the Florida Keys across distance, depth, and time. ",article,10.1007/s00227-009-1196-z,,
r300,primary,"Chong, G., Tsai, S., Wang, L. H., Huang, C. Y., & Lin, C.",2016,Cryopreservation of the gorgonian endosymbiont Symbiodinium.,article,10.1038/srep18816,,
r301,primary,"Goulet, T. L., Shirur, K. P., Ramsby, B. D., & Iglesias-Prieto, R. ",2017,"The effects of elevated seawater temperatures on Caribbean gorgonian corals and their algal symbionts, Symbiodinium spp.",article,10.1371/journal.pone.0171032,,
r302,primary,"Goulet, T.L. & Coffroth, M.A. ",2004,"The genetic identity of dinoflagellate symbionts in Caribbean octocorals.Coral Reefs 23, 465–472",article,10.1007/s00338-004-0408-8,,
r303,primary,"Andras, J. P., Kirk, N. L., & Drew Harvell, C.",2011,"Range-wide population genetic structure of Symbiodinium associated with the Caribbean Sea fan coral, Gorgonia ventalina",article,10.1111/j.1365-294X.2011.05115.x,,
r304,primary,"Forcioli, D., Merle, P. L., Caligara, C., Ciosi, M., Muti, C., Francour, P., ... & Allemand, D.",2011,Symbiont diversity is not involved in depth acclimation in the Mediterranean sea whip Eunicella singularis,article,10.3354/meps09314,,
r305,primary,"Nuzzo, G., Gomes, B. A., Luongo, E., Torres, M. C., Santos, E. A., Cutignano, A., ... & Fontana, A.",2016,Dinoflagellate-Related Amphidinolides from the Brazilian Octocoral Stragulum bicolor,article,10.1021/acs.jnatprod.6b00259,,
r306,primary,"Goulet, T.L., LaJeunesse, T.C. & Fabricius, K.E. ",2008,Symbiont specificity and bleaching susceptibility among soft corals in the 1998 Great Barrier Reef mass coral bleaching event.,article,10.1007/s00227-008-0972-5,,
r309,primary,"Lau, Y. W., Stokvis, F. R., Imahara, Y., & Reimer, J. D.",2019,"The stoloniferous octocoral, Hanabira yukibana, gen. nov., sp. nov., of the southern Ryukyus has morphological and symbiont variation",article,10.1163/18759866-20191355,,
